t,x,x_dot
14.0946405228758,49.9734666666667,0.0266666666666664
14.1046405228758,49.9736583333333,0.0116666666666667
14.1124183006536,50,-0
14.1224183006536,49.9999361111111,-0.0127777777777778
14.1324183006536,49.9997444444444,-0.0255555555555556
14.1424183006536,49.999425,-0.0383333333333333
14.1524183006536,49.9989777777778,-0.0511111111111111
14.1624183006536,49.9984027777778,-0.0638888888888889
14.1724183006536,49.9977,-0.0766666666666667
14.1824183006536,49.9968694444444,-0.0894444444444445
14.1924183006536,49.9959111111111,-0.102222222222222
14.2024183006536,49.994825,-0.115
14.2124183006536,49.9936111111111,-0.127777777777778
14.2224183006536,49.9922694444444,-0.140555555555556
14.2324183006536,49.9908,-0.153333333333333
14.2424183006536,49.9892027777778,-0.166111111111111
14.2524183006536,49.9874777777778,-0.178888888888889
14.2624183006536,49.985625,-0.191666666666667
14.2724183006536,49.9836444444444,-0.204444444444444
14.2824183006536,49.9815361111111,-0.217222222222222
14.2924183006536,49.9793,-0.23
14.3024183006536,49.9769361111111,-0.242777777777778
14.3124183006536,49.9744444444444,-0.255555555555556
14.3224183006536,49.971825,-0.268333333333333
14.3324183006536,49.9690777777778,-0.281111111111111
14.3424183006536,49.9662027777778,-0.293888888888889
14.3524183006536,49.9632,-0.306666666666667
14.3624183006536,49.9600694444444,-0.319444444444444
14.3724183006536,49.9568111111111,-0.332222222222222
14.3824183006536,49.953425,-0.345
14.3924183006536,49.9499111111111,-0.357777777777778
14.4024183006536,49.9462694444444,-0.370555555555556
14.4124183006536,49.9425,-0.383333333333333
14.4224183006536,49.9386027777778,-0.396111111111111
14.4324183006536,49.9345777777778,-0.408888888888889
14.4424183006536,49.930425,-0.421666666666667
14.4524183006536,49.9261444444444,-0.434444444444444
14.4624183006536,49.9217361111111,-0.447222222222222
14.4724183006536,49.9172,-0.46
14.4824183006536,49.9125361111111,-0.472777777777778
14.4924183006536,49.9077444444444,-0.485555555555556
14.5024183006536,49.902825,-0.498333333333333
14.5124183006536,49.8977777777778,-0.511111111111111
14.5224183006536,49.8926027777778,-0.523888888888889
14.5324183006536,49.8873,-0.536666666666667
14.5424183006536,49.8818694444444,-0.549444444444444
14.5524183006536,49.8763111111111,-0.562222222222222
14.5624183006536,49.870625,-0.575
14.5724183006536,49.8648111111111,-0.587777777777778
14.5824183006536,49.8588694444444,-0.600555555555556
14.5924183006536,49.8528,-0.613333333333333
14.6024183006536,49.8466027777778,-0.626111111111111
14.6124183006536,49.8402777777778,-0.638888888888889
14.6224183006536,49.833825,-0.651666666666667
14.6324183006536,49.8272444444444,-0.664444444444444
14.6424183006536,49.8205361111111,-0.677222222222222
14.6524183006536,49.8137,-0.69
14.6624183006536,49.8067361111111,-0.702777777777778
14.6724183006536,49.7996444444444,-0.715555555555556
14.6824183006536,49.792425,-0.728333333333333
14.6924183006536,49.7850777777778,-0.741111111111111
